time	W	temp
1618453472.422078	5.599	74.674	
1618453472.4942083	5.599	74.674	
1618453472.568497	5.599	74.674	
1618453472.6385908	5.599	74.136	
1618453472.7126768	5.599	74.136	
1618453472.785009	5.573	74.136	
1618453472.8595164	5.573	74.136	
1618453472.9310312	5.573	75.212	
1618453473.004563	5.573	74.674	
1618453473.075459	5.573	75.212	
1618453473.1475651	5.573	74.136	
1618453473.2174184	5.573	74.136	
1618453473.2894564	5.573	75.212	
1618453473.359831	5.573	74.136	
1618453473.431862	5.573	75.212	
1618453473.5022442	5.573	75.212	
1618453473.5743432	5.573	75.212	
1618453473.6443043	5.573	75.212	
1618453473.717383	5.573	74.136	
1618453473.788748	5.626	74.674	
1618453473.8624046	5.626	75.212	
1618453473.932389	5.626	75.212	
1618453474.0047088	5.626	75.212	
1618453474.0762012	5.626	75.212	
1618453474.1496456	5.626	75.212	
1618453474.221286	5.626	74.674	
1618453474.2947738	5.626	75.212	
1618453474.3665123	5.626	74.136	
1618453474.4398317	5.626	75.212	
1618453474.5124984	5.626	75.212	
1618453474.5862844	5.626	75.212	
1618453474.6577625	5.626	75.212	
1618453474.7321346	5.626	75.212	
1618453474.8025424	5.588	75.212	
1618453474.8753378	5.588	75.212	
1618453474.9479983	5.588	75.212	
1618453475.0220623	5.588	75.212	
1618453475.0939825	5.588	75.212	
1618453475.1657324	5.588	75.75	
1618453475.2375538	5.588	75.212	
1618453475.3113275	5.588	75.212	
1618453475.3829148	5.588	75.212	
1618453475.4561949	5.588	75.212	
1618453475.5263689	5.588	75.212	
1618453475.5982068	5.588	75.75	
1618453475.6691425	5.588	75.212	
1618453475.7416914	5.611	75.212	
1618453475.8124127	5.611	75.212	
1618453475.8869767	5.611	75.212	
1618453475.9576876	5.611	75.75	
1618453476.0319214	5.611	75.212	
1618453476.1019974	5.611	75.75	
1618453476.1739602	5.611	76.288	
1618453476.2442431	5.611	75.212	
1618453476.3167017	5.611	75.75	
1618453476.3869567	5.611	75.212	
1618453476.4608614	5.611	75.212	
1618453476.531396	5.611	75.75	
1618453476.6033628	5.611	75.75	
1618453476.6747563	5.611	75.75	
1618453476.7501585	5.592	75.75	
1618453476.820684	5.592	76.288	
1618453476.8970459	5.592	76.288	
1618453476.970289	5.592	76.288	
1618453477.0438454	5.592	75.212	
1618453477.1151996	5.592	76.288	
1618453477.1887531	5.592	75.75	
1618453477.2608051	5.592	75.75	
1618453477.332887	5.592	75.75	
1618453477.4030485	5.592	75.75	
1618453477.4766095	5.592	76.288	
1618453477.5467157	5.592	75.75	
1618453477.6199903	5.592	75.75	
1618453477.6909618	5.592	75.75	
1618453477.764607	5.565	76.288	
1618453477.8364902	5.565	76.288	
1618453477.9092088	5.565	75.212	
1618453477.9810798	5.565	76.826	
1618453478.055178	5.565	76.288	
1618453478.1254675	5.565	76.288	
1618453478.1997604	5.565	76.288	
1618453478.2700758	5.565	76.288	
1618453478.3419042	5.565	75.75	
1618453478.4121783	5.565	76.288	
1618453478.4840693	5.565	75.75	
1618453478.5540779	5.565	76.826	
1618453478.626097	5.565	75.75	
1618453478.6965973	5.565	76.288	
1618453478.7703972	5.672	76.288	
1618453478.8429673	5.672	76.288	
1618453478.9180696	5.672	76.288	
1618453478.9882286	5.672	76.288	
1618453479.0599978	5.672	76.826	
1618453479.1318524	5.672	75.75	
1618453479.2041478	5.672	76.288	
1618453479.2756734	5.672	76.288	
1618453479.3494499	5.672	76.826	
1618453479.4216998	5.672	76.288	
1618453479.4949877	5.672	76.288	
1618453479.5669625	5.672	75.75	
1618453479.6395433	5.672	76.288	
1618453479.7103748	5.672	76.288	
1618453479.782925	5.607	76.288	
1618453479.853907	5.607	76.288	
1618453479.9263704	5.607	76.288	
1618453479.9965148	5.607	76.826	
1618453480.0702984	5.607	76.288	
1618453480.1408522	5.607	76.288	
1618453480.2128131	5.607	76.826	
1618453480.2828665	5.607	76.288	
1618453480.3569593	5.607	76.288	
1618453480.4286685	5.607	76.288	
1618453480.501799	5.607	76.288	
1618453480.572235	5.607	77.364	
1618453480.645903	5.607	77.364	
1618453480.717208	5.607	76.826	
1618453480.789104	5.561	77.364	
1618453480.859905	5.561	76.826	
1618453480.9334958	5.561	76.288	
1618453481.0049634	5.561	76.288	
1618453481.077006	5.561	76.288	
1618453481.1474998	5.561	76.288	
1618453481.219208	5.561	76.288	
1618453481.2894642	5.561	76.288	
1618453481.3615117	5.561	76.288	
1618453481.4330263	5.561	77.364	
1618453481.5067065	5.561	76.826	
1618453481.577238	5.561	76.826	
1618453481.6496425	5.561	76.288	
1618453481.7222269	5.561	76.288	
1618453481.7954981	5.588	77.364	
1618453481.8678768	5.588	76.826	
1618453481.9415033	5.588	76.826	
1618453482.0117111	5.588	76.826	
1618453482.085627	5.588	76.826	
1618453482.1557736	5.588	76.826	
1618453482.227642	5.588	77.364	
1618453482.2981408	5.588	76.826	
1618453482.3704836	5.588	77.364	
1618453482.4419627	5.588	77.364	
1618453482.5158017	5.588	76.826	
1618453482.58746	5.588	77.364	
1618453482.6609354	5.588	76.826	
1618453482.7339656	5.618	77.364	
1618453482.8083827	5.618	77.364	
1618453482.880861	5.618	77.364	
1618453482.9556804	5.618	77.364	
1618453483.02578	5.618	76.826	
1618453483.100349	5.618	77.364	
