time	W	temp
1618455789.3933117	5.012	81.13	
1618455789.4440444	5.012	81.668	
1618455789.493183	5.012	81.668	
1618455789.5423207	5.012	81.13	
1618455789.593802	5.012	82.206	
1618455789.6428423	5.012	82.206	
1618455789.6946445	5.012	81.668	
1618455789.744313	5.012	82.206	
1618455789.7973504	4.958	81.668	
1618455789.8514328	4.958	80.592	
1618455789.8998036	4.958	81.668	
1618455789.9473543	4.958	81.13	
1618455789.9961731	4.958	81.668	
1618455790.0467227	4.958	82.206	
1618455790.096845	4.958	81.668	
1618455790.1484551	4.958	81.668	
1618455790.1973681	4.958	81.668	
1618455790.2484434	4.958	81.13	
1618455790.2975411	4.958	81.668	
1618455790.349211	4.958	81.668	
1618455790.39837	4.958	81.668	
1618455790.4500163	4.958	81.668	
1618455790.5000772	4.958	81.668	
1618455790.5515602	4.958	82.206	
1618455790.5989008	4.958	81.668	
1618455790.6459541	4.958	81.668	
1618455790.6982336	4.958	81.668	
1618455790.749495	4.958	81.668	
1618455790.799402	4.97	81.668	
1618455790.850829	4.97	81.668	
1618455790.903928	4.97	81.668	
1618455790.9577618	4.97	81.13	
1618455791.0068126	4.97	81.668	
1618455791.0581913	4.97	81.668	
1618455791.1071608	4.97	81.668	
1618455791.158923	4.97	82.206	
1618455791.2094536	4.97	81.668	
1618455791.261147	4.97	81.668	
1618455791.313472	4.97	82.206	
1618455791.3663964	4.97	81.668	
1618455791.4164295	4.97	81.668	
1618455791.4678469	4.97	81.668	
1618455791.5178463	4.97	80.592	
1618455791.5694056	4.97	81.668	
1618455791.6194158	4.97	81.668	
1618455791.669961	4.97	81.668	
1618455791.7188795	4.97	81.668	
1618455791.7692285	4.97	81.13	
1618455791.8198397	4.958	81.668	
1618455791.8706288	4.958	81.668	
1618455791.9236379	4.958	81.668	
1618455791.9750142	4.958	81.668	
1618455792.0260684	4.958	81.668	
1618455792.0760472	4.958	82.206	
1618455792.1289783	4.958	81.668	
1618455792.1800554	4.958	81.668	
1618455792.231499	4.958	81.668	
1618455792.2803347	4.958	81.668	
1618455792.331604	4.958	81.668	
1618455792.381294	4.958	81.668	
1618455792.432005	4.958	81.668	
1618455792.480602	4.958	81.668	
1618455792.5300093	4.958	81.668	
1618455792.581309	4.958	81.668	
1618455792.6326177	4.958	81.668	
1618455792.6867578	4.958	81.668	
1618455792.7391553	4.958	81.668	
1618455792.7920718	5.038	81.668	
1618455792.8438003	5.038	81.668	
1618455792.8952625	5.038	81.668	
1618455792.947673	5.038	81.668	
1618455792.9999952	5.038	81.668	
1618455793.0499635	5.038	81.668	
1618455793.1014962	5.038	81.668	
1618455793.1511633	5.038	81.668	
1618455793.2028682	5.038	81.668	
1618455793.2519073	5.038	82.206	
1618455793.3038259	5.038	81.668	
1618455793.3548808	5.038	81.668	
1618455793.4069717	5.038	82.206	
1618455793.456728	5.038	81.668	
1618455793.5074902	5.038	81.668	
1618455793.5573156	5.038	81.668	
1618455793.6080246	5.038	82.206	
1618455793.6579876	5.038	81.668	
1618455793.7104552	5.038	81.668	
1618455793.7626176	5.038	82.206	
1618455793.8146377	5.023	81.668	
1618455793.864553	5.023	81.668	
1618455793.9163327	5.023	81.668	
1618455793.965478	5.023	81.668	
1618455794.0173037	5.023	81.668	
1618455794.066271	5.023	81.668	
1618455794.1184533	5.023	81.668	
1618455794.1696725	5.023	81.668	
1618455794.2215536	5.023	82.206	
1618455794.2715592	5.023	82.206	
1618455794.3235745	5.023	82.206	
1618455794.373299	5.023	81.668	
1618455794.4257874	5.023	82.206	
1618455794.477414	5.023	81.668	
1618455794.5289762	5.023	81.668	
1618455794.5780706	5.023	82.206	
1618455794.6307847	5.023	81.668	
1618455794.6818285	5.023	81.668	
1618455794.7334282	5.023	81.668	
1618455794.782627	4.908	82.206	
1618455794.8355582	4.908	81.668	
1618455794.8847568	4.908	82.206	
1618455794.9362125	4.908	81.668	
1618455794.9853954	4.908	82.206	
1618455795.0369954	4.908	81.668	
1618455795.086211	4.908	81.668	
1618455795.138272	4.908	82.206	
1618455795.1909108	4.908	81.668	
1618455795.2423472	4.908	82.206	
1618455795.2921736	4.908	81.668	
1618455795.343023	4.908	81.668	
1618455795.3920836	4.908	81.668	
1618455795.4410815	4.908	82.206	
1618455795.4919062	4.908	82.206	
1618455795.5409572	4.908	81.668	
1618455795.5898263	4.908	81.668	
1618455795.640677	4.908	81.668	
1618455795.6902995	4.908	82.206	
1618455795.7427824	4.908	82.206	
1618455795.7948112	5.05	82.206	
1618455795.848564	5.05	82.206	
1618455795.8997483	5.05	82.206	
1618455795.9556742	5.05	82.206	
1618455796.010623	5.05	82.744	
1618455796.0627718	5.05	81.668	
1618455796.1126776	5.05	81.668	
1618455796.1639717	5.05	82.206	
1618455796.213734	5.05	82.206	
1618455796.2659369	5.05	82.206	
1618455796.31593	5.05	82.206	
1618455796.367058	5.05	82.206	
1618455796.4171443	5.05	82.206	
1618455796.4680161	5.05	82.206	
1618455796.5178082	5.05	82.206	
1618455796.569656	5.05	81.668	
1618455796.619449	5.05	82.206	
1618455796.6731164	5.05	81.668	
1618455796.7254436	5.05	81.668	
1618455796.7796483	5.061	82.206	
1618455796.8318698	5.061	81.668	
1618455796.882711	5.061	81.668	
1618455796.9325225	5.061	82.206	
1618455796.98557	5.061	81.668	
1618455797.0370245	5.061	81.668	
1618455797.0899858	5.061	82.206	
1618455797.1418786	5.061	82.206	
