time	W	temp
1618452848.1372674	5.061	62.838	
1618452848.180058	5.061	63.376	
1618452848.2243407	5.061	63.376	
1618452848.2666953	5.061	63.376	
1618452848.3093762	5.061	63.376	
1618452848.3530445	5.061	63.376	
1618452848.396421	5.061	63.376	
1618452848.4387176	5.061	63.914	
1618452848.483461	5.061	63.376	
1618452848.5267298	5.061	63.376	
1618452848.5700307	5.061	63.914	
1618452848.6151917	5.061	63.914	
1618452848.6577423	5.061	63.914	
1618452848.700296	5.061	63.376	
1618452848.7446177	5.084	64.452	
1618452848.7874498	5.084	63.914	
1618452848.830885	5.084	64.452	
1618452848.8759024	5.084	64.452	
1618452848.9185107	5.084	63.914	
1618452848.9618287	5.084	64.452	
1618452849.0064247	5.084	63.376	
1618452849.049615	5.084	63.914	
1618452849.0928018	5.084	64.452	
1618452849.1366513	5.084	63.376	
1618452849.1791298	5.084	63.914	
1618452849.2217226	5.084	63.376	
1618452849.2657106	5.084	63.914	
1618452849.3083162	5.084	63.376	
1618452849.351586	5.084	64.452	
1618452849.3951037	5.084	64.452	
1618452849.4385676	5.084	63.914	
1618452849.481929	5.084	64.452	
1618452849.5270166	5.084	64.452	
1618452849.5705225	5.084	64.452	
1618452849.6140676	5.084	64.99	
1618452849.6588662	5.084	63.914	
1618452849.7016683	5.084	64.452	
1618452849.7445166	5.084	64.452	
1618452849.788277	5.084	64.99	
1618452849.8319166	5.084	64.452	
1618452849.8747053	5.084	64.452	
1618452849.9196727	5.084	64.452	
1618452849.962798	5.084	64.452	
1618452850.0051146	5.084	64.452	
1618452850.048902	5.084	64.452	
1618452850.0920358	5.084	64.452	
1618452850.1353643	5.084	64.452	
1618452850.1800418	5.084	64.452	
1618452850.2226288	5.084	64.452	
1618452850.2652414	5.084	64.452	
1618452850.3090208	5.084	64.452	
1618452850.3526347	5.084	64.452	
1618452850.395246	5.084	64.99	
1618452850.4390645	5.084	64.452	
1618452850.4816704	5.084	64.452	
1618452850.524892	5.084	64.452	
1618452850.5698345	5.084	64.452	
1618452850.6137288	5.084	64.452	
1618452850.6573951	5.084	64.99	
1618452850.701432	5.084	64.452	
1618452850.7449992	5.084	64.452	
1618452850.788543	5.084	64.452	
1618452850.8335636	5.107	64.452	
1618452850.8767545	5.107	64.99	
1618452850.920054	5.107	64.452	
1618452850.965048	5.107	64.99	
1618452851.007728	5.107	64.452	
1618452851.050116	5.107	65.528	
1618452851.0948205	5.107	64.99	
1618452851.1384656	5.107	64.452	
1618452851.1816208	5.107	64.99	
1618452851.2264125	5.107	64.99	
1618452851.2699175	5.107	64.99	
1618452851.312632	5.107	64.99	
1618452851.3566632	5.107	64.99	
1618452851.399016	5.107	64.452	
1618452851.441751	5.107	64.452	
1618452851.4857082	5.107	64.99	
1618452851.5288744	5.107	65.528	
1618452851.5713758	5.107	64.99	
1618452851.6163573	5.107	64.99	
1618452851.6597626	5.107	64.452	
1618452851.7029738	5.107	64.99	
1618452851.7482047	5.092	64.452	
1618452851.791111	5.092	64.99	
1618452851.8337228	5.092	64.99	
1618452851.8777907	5.092	64.99	
1618452851.9213738	5.092	64.99	
1618452851.9647026	5.092	64.99	
1618452852.0086575	5.092	64.99	
1618452852.051352	5.092	64.99	
1618452852.0949528	5.092	64.99	
1618452852.1395507	5.092	65.528	
1618452852.1830347	5.092	64.99	
1618452852.2263184	5.092	64.99	
1618452852.2703762	5.092	65.528	
1618452852.3132107	5.092	65.528	
1618452852.3555973	5.092	65.528	
1618452852.3996165	5.092	65.528	
1618452852.4421105	5.092	64.99	
1618452852.485602	5.092	65.528	
1618452852.529364	5.092	65.528	
1618452852.5726213	5.092	64.99	
1618452852.6159198	5.092	65.528	
1618452852.660442	5.092	65.528	
1618452852.7040684	5.092	65.528	
1618452852.7465584	5.111	65.528	
1618452852.7912703	5.111	65.528	
1618452852.8336625	5.111	65.528	
1618452852.8773816	5.111	65.528	
1618452852.922553	5.111	64.99	
1618452852.9649918	5.111	65.528	
1618452853.007522	5.111	65.528	
1618452853.052234	5.111	65.528	
1618452853.095679	5.111	65.528	
1618452853.1387606	5.111	65.528	
1618452853.1834378	5.111	64.99	
1618452853.226178	5.111	65.528	
1618452853.268789	5.111	65.528	
1618452853.3130589	5.111	66.066	
1618452853.3556492	5.111	65.528	
1618452853.3982747	5.111	65.528	
1618452853.4429007	5.111	65.528	
1618452853.485142	5.111	65.528	
1618452853.528915	5.111	64.99	
1618452853.5737662	5.111	65.528	
1618452853.6170986	5.111	64.99	
1618452853.6605964	5.111	65.528	
1618452853.7043538	5.111	65.528	
1618452853.7471507	5.107	65.528	
1618452853.790152	5.107	66.066	
1618452853.8339026	5.107	65.528	
1618452853.8773763	5.107	65.528	
1618452853.920761	5.107	65.528	
1618452853.9643478	5.107	66.066	
1618452854.007711	5.107	66.066	
1618452854.0513244	5.107	65.528	
1618452854.0956483	5.107	65.528	
1618452854.1390762	5.107	65.528	
1618452854.1817849	5.107	65.528	
1618452854.226392	5.107	66.066	
1618452854.2688038	5.107	65.528	
1618452854.3114007	5.107	65.528	
1618452854.3554614	5.107	64.99	
1618452854.39853	5.107	65.528	
1618452854.4411206	5.107	65.528	
1618452854.4861376	5.107	65.528	
1618452854.5293438	5.107	65.528	
1618452854.5727372	5.107	65.528	
1618452854.6175745	5.107	66.066	
1618452854.660445	5.107	65.528	
1618452854.7028956	5.107	65.528	
1618452854.7470467	5.107	65.528	
1618452854.789548	5.107	65.528	
1618452854.8343437	5.107	65.528	
1618452854.8782308	5.107	65.528	
1618452854.9213483	5.107	65.528	
1618452854.964899	5.107	66.604	
1618452855.0095036	5.107	65.528	
1618452855.0527656	5.107	66.066	
1618452855.0961578	5.107	65.528	
1618452855.140427	5.107	66.066	
1618452855.1832662	5.107	65.528	
1618452855.2263958	5.107	65.528	
1618452855.2704415	5.107	65.528	
1618452855.313889	5.107	65.528	
1618452855.357313	5.107	66.604	
1618452855.400894	5.107	66.066	
1618452855.4442422	5.107	65.528	
1618452855.4878786	5.107	65.528	
1618452855.5323107	5.107	66.066	
1618452855.575969	5.107	65.528	
1618452855.6185794	5.107	65.528	
1618452855.6628187	5.107	66.066	
1618452855.7054167	5.107	66.066	
1618452855.7475955	5.107	66.604	
1618452855.792728	5.107	66.066	
1618452855.8357918	5.084	65.528	
