time	W	temp
1618509785.5960104	5.683	74.136	
1618509785.6660664	5.683	74.136	
1618509785.7374535	5.683	74.674	
1618509785.8070943	5.683	74.674	
1618509785.8785896	5.683	74.674	
1618509785.9493916	5.683	74.136	
1618509786.0215828	5.683	74.136	
1618509786.0912857	5.683	74.674	
1618509786.1628106	5.683	74.136	
1618509786.2324884	5.683	74.136	
1618509786.3039231	5.683	74.136	
1618509786.3737977	5.683	74.136	
1618509786.4462154	5.569	74.136	
1618509786.5160537	5.569	75.212	
1618509786.5875545	5.569	74.136	
1618509786.6574476	5.569	75.212	
1618509786.7288094	5.569	74.674	
1618509786.798522	5.569	74.674	
1618509786.8743577	5.569	74.674	
1618509786.943874	5.569	74.674	
1618509787.0162916	5.569	74.674	
1618509787.086199	5.569	75.212	
1618509787.1577349	5.569	75.212	
1618509787.2271526	5.569	74.674	
1618509787.2985923	5.569	74.136	
1618509787.3682027	5.569	74.136	
1618509787.4399986	5.68	74.674	
1618509787.5105064	5.68	74.674	
1618509787.5822628	5.68	74.674	
1618509787.6519938	5.68	74.136	
1618509787.7233336	5.68	75.212	
1618509787.7929795	5.68	75.212	
1618509787.8643448	5.68	74.674	
1618509787.9339478	5.68	75.212	
1618509788.0059483	5.68	74.674	
1618509788.0759494	5.68	74.674	
1618509788.1471367	5.68	75.212	
1618509788.2173114	5.68	75.212	
1618509788.288907	5.68	74.674	
1618509788.358544	5.68	75.212	
1618509788.4306278	5.649	75.212	
1618509788.501415	5.649	74.674	
1618509788.5728102	5.649	75.212	
1618509788.6424813	5.649	75.75	
1618509788.714346	5.649	74.674	
1618509788.7846816	5.649	75.212	
1618509788.8582504	5.649	75.212	
1618509788.9287624	5.649	74.674	
1618509789.0011656	5.649	75.212	
1618509789.070813	5.649	75.212	
1618509789.1424048	5.649	75.212	
1618509789.2125432	5.649	75.212	
1618509789.283867	5.649	75.212	
1618509789.3542066	5.649	75.212	
1618509789.4264624	5.676	74.136	
1618509789.4970422	5.676	75.212	
1618509789.5684981	5.676	75.212	
1618509789.6385784	5.676	75.212	
1618509789.7107131	5.676	75.212	
