time	W	temp
1618508572.7593372	5.313	65.528	
1618508572.8338244	5.313	65.528	
1618508572.9061959	5.313	65.528	
1618508572.9803672	5.313	65.528	
1618508573.0525806	5.313	65.528	
1618508573.1259267	5.313	65.528	
1618508573.1993525	5.313	65.528	
1618508573.2733624	5.313	65.528	
1618508573.3456357	5.313	66.066	
1618508573.4202294	5.359	65.528	
1618508573.4935093	5.359	65.528	
1618508573.567494	5.359	65.528	
1618508573.6394475	5.359	65.528	
1618508573.7139254	5.359	65.528	
1618508573.7859297	5.359	65.528	
1618508573.8603985	5.359	65.528	
1618508573.933001	5.359	66.604	
1618508574.0074837	5.359	65.528	
1618508574.0797105	5.359	65.528	
1618508574.1535022	5.359	66.066	
1618508574.2266004	5.359	65.528	
1618508574.3000517	5.359	66.066	
1618508574.3720922	5.359	66.066	
1618508574.4467676	5.347	66.066	
1618508574.519715	5.347	66.604	
1618508574.5936973	5.347	65.528	
1618508574.665657	5.347	65.528	
1618508574.7401466	5.347	66.604	
1618508574.8133307	5.347	66.604	
1618508574.8902266	5.347	66.066	
1618508574.962535	5.347	66.604	
1618508575.036625	5.347	65.528	
1618508575.108946	5.347	66.604	
1618508575.18267	5.347	66.604	
1618508575.2554085	5.347	66.604	
1618508575.3284743	5.347	65.528	
1618508575.400359	5.347	66.604	
1618508575.4743962	5.351	66.604	
1618508575.5477793	5.351	66.066	
1618508575.6215992	5.351	66.066	
1618508575.6935582	5.351	65.528	
1618508575.7682164	5.351	66.066	
1618508575.8410265	5.351	66.604	
1618508575.9146125	5.351	66.604	
1618508575.9869585	5.351	65.528	
1618508576.0612254	5.351	66.066	
1618508576.133497	5.351	66.604	
1618508576.2072723	5.351	66.604	
1618508576.2803411	5.351	66.066	
1618508576.3537452	5.351	66.604	
1618508576.426074	5.359	66.604	
1618508576.5005643	5.359	66.066	
1618508576.573091	5.359	66.604	
1618508576.6469252	5.359	66.066	
1618508576.7189603	5.359	66.066	
1618508576.7942264	5.359	66.604	
1618508576.8691626	5.359	66.604	
1618508576.9432294	5.359	66.604	
1618508577.015736	5.359	66.604	
1618508577.091054	5.359	66.604	
1618508577.1638796	5.359	66.604	
1618508577.2380064	5.359	66.604	
1618508577.3114123	5.359	66.604	
1618508577.3851857	5.359	66.604	
1618508577.4574723	5.363	66.604	
1618508577.5325944	5.363	66.066	
1618508577.605396	5.363	66.604	
1618508577.6801317	5.363	66.604	
1618508577.7519999	5.363	66.604	
1618508577.827776	5.363	66.604	
1618508577.900413	5.363	66.604	
1618508577.9739895	5.363	66.604	
1618508578.0470357	5.363	66.604	
1618508578.1219432	5.363	66.604	
1618508578.1947594	5.363	66.604	
1618508578.2686093	5.363	66.604	
1618508578.3417003	5.363	66.604	
1618508578.4163592	5.382	66.604	
1618508578.48882	5.382	66.604	
1618508578.56312	5.382	67.142	
1618508578.635831	5.382	66.604	
1618508578.710009	5.382	66.604	
1618508578.7825546	5.382	66.604	
1618508578.8578372	5.382	67.142	
1618508578.9303393	5.382	66.604	
1618508579.003698	5.382	67.142	
1618508579.0760424	5.382	67.142	
1618508579.1507423	5.382	66.604	
1618508579.2235441	5.382	67.142	
1618508579.2970207	5.382	66.604	
