time	W	temp4	temp5	temp6	temp7
1618468548.4627833	10.283	78.0	83.0	83.0	73.0	
1618468548.496115	10.283	78.0	83.0	84.0	73.0	
1618468548.5318341	10.283	78.0	83.0	84.0	73.0	
1618468548.5674338	10.283	79.0	83.0	83.0	72.0	
1618468548.6027021	10.283	78.0	83.0	84.0	73.0	
1618468548.6404595	10.283	78.0	83.0	84.0	73.0	
1618468548.6805706	10.283	78.0	83.0	84.0	73.0	
1618468548.7164423	10.283	77.0	83.0	83.0	73.0	
1618468548.7545695	10.283	79.0	82.0	83.0	73.0	
1618468548.7912977	10.283	78.0	82.0	84.0	72.0	
1618468548.8308809	10.283	77.0	83.0	83.0	73.0	
1618468548.8676705	10.283	77.0	83.0	84.0	73.0	
1618468548.903545	10.283	78.0	83.0	84.0	73.0	
1618468548.9391704	10.283	79.0	82.0	84.0	73.0	
1618468548.9780905	10.283	78.0	83.0	84.0	73.0	
1618468549.0119176	10.283	77.0	83.0	84.0	72.0	
1618468549.0485797	10.283	78.0	83.0	84.0	73.0	
1618468549.0861518	10.283	77.0	83.0	83.0	73.0	
1618468549.120418	10.283	77.0	83.0	84.0	73.0	
1618468549.1563957	10.283	77.0	83.0	83.0	73.0	
1618468549.193491	10.283	78.0	83.0	83.0	73.0	
1618468549.2312493	10.206	78.0	83.0	84.0	73.0	
1618468549.267863	10.206	78.0	83.0	85.0	73.0	
1618468549.3059094	10.206	78.0	82.0	84.0	73.0	
1618468549.3430521	10.206	78.0	83.0	84.0	73.0	
1618468549.381488	10.206	79.0	82.0	84.0	72.0	
1618468549.4159524	10.206	79.0	83.0	84.0	73.0	
1618468549.451441	10.206	78.0	83.0	84.0	73.0	
1618468549.488068	10.206	78.0	83.0	84.0	73.0	
1618468549.5243773	10.206	78.0	83.0	84.0	73.0	
1618468549.560075	10.206	79.0	83.0	84.0	73.0	
1618468549.5962622	10.206	79.0	83.0	84.0	72.0	
1618468549.6330302	10.206	77.0	83.0	84.0	73.0	
1618468549.6708374	10.206	78.0	83.0	84.0	72.0	
1618468549.7079709	10.206	79.0	83.0	85.0	73.0	
1618468549.7453408	10.206	78.0	83.0	85.0	73.0	
1618468549.7824752	10.206	78.0	83.0	85.0	73.0	
1618468549.8183544	10.206	79.0	83.0	84.0	73.0	
1618468549.8596764	10.206	78.0	83.0	85.0	73.0	
1618468549.898205	10.206	78.0	83.0	84.0	72.0	
1618468549.9367886	10.206	76.0	82.0	83.0	72.0	
1618468549.975378	10.206	77.0	81.0	83.0	72.0	
1618468550.0108452	10.206	77.0	82.0	82.0	72.0	
1618468550.0476716	10.206	76.0	81.0	83.0	72.0	
1618468550.087046	10.206	76.0	81.0	82.0	71.0	
1618468550.1272573	10.206	76.0	81.0	81.0	71.0	
1618468550.163605	10.206	77.0	81.0	83.0	72.0	
1618468550.2004838	10.206	77.0	81.0	83.0	72.0	
1618468550.236201	10.206	78.0	81.0	83.0	72.0	
1618468550.2732286	9.264	78.0	81.0	84.0	72.0	
1618468550.312112	9.264	78.0	81.0	83.0	73.0	
1618468550.3472703	9.264	77.0	82.0	84.0	73.0	
1618468550.3854454	9.264	78.0	82.0	83.0	73.0	
1618468550.4213848	9.264	77.0	82.0	84.0	73.0	
1618468550.4598246	9.264	78.0	82.0	83.0	73.0	
1618468550.495768	9.264	77.0	82.0	84.0	73.0	
1618468550.5321772	9.264	78.0	82.0	84.0	74.0	
1618468550.5675027	9.264	78.0	83.0	84.0	73.0	
1618468550.6023586	9.264	79.0	82.0	84.0	73.0	
1618468550.6359608	9.264	79.0	83.0	83.0	73.0	
1618468550.672383	9.264	79.0	83.0	84.0	73.0	
1618468550.7087522	9.264	78.0	83.0	83.0	74.0	
1618468550.746534	9.264	78.0	83.0	84.0	73.0	
1618468550.783619	9.264	78.0	83.0	84.0	73.0	
1618468550.8203974	9.264	77.0	83.0	84.0	74.0	
1618468550.85822	9.264	78.0	83.0	85.0	74.0	
1618468550.8947475	9.264	78.0	83.0	84.0	73.0	
1618468550.929975	9.264	79.0	83.0	84.0	73.0	
1618468550.9724662	9.264	78.0	83.0	84.0	73.0	
1618468551.009339	9.264	78.0	83.0	85.0	74.0	
1618468551.042994	9.264	79.0	83.0	84.0	73.0	
1618468551.0810347	9.264	78.0	83.0	85.0	73.0	
1618468551.115065	9.264	79.0	83.0	84.0	74.0	
1618468551.1499753	9.264	79.0	83.0	83.0	73.0	
1618468551.186769	9.264	78.0	83.0	84.0	74.0	
1618468551.2208245	9.264	79.0	83.0	84.0	73.0	
1618468551.2569375	9.264	78.0	83.0	84.0	73.0	
1618468551.2934108	10.088	79.0	83.0	84.0	73.0	
1618468551.3280542	10.088	78.0	83.0	83.0	74.0	
1618468551.3635771	10.088	79.0	83.0	84.0	74.0	
1618468551.4000616	10.088	79.0	83.0	84.0	73.0	
1618468551.4358222	10.088	79.0	83.0	85.0	73.0	
1618468551.4715266	10.088	79.0	83.0	83.0	74.0	
1618468551.5079217	10.088	79.0	84.0	85.0	74.0	
1618468551.5414371	10.088	79.0	83.0	84.0	73.0	
1618468551.5760157	10.088	79.0	84.0	85.0	74.0	
1618468551.6138673	10.088	79.0	84.0	85.0	74.0	
1618468551.6471896	10.088	79.0	84.0	85.0	74.0	
1618468551.6832504	10.088	78.0	84.0	84.0	74.0	
1618468551.7175047	10.088	80.0	84.0	85.0	74.0	
1618468551.7532125	10.088	78.0	83.0	85.0	74.0	
1618468551.7886465	10.088	79.0	84.0	85.0	74.0	
1618468551.8228228	10.088	80.0	83.0	84.0	75.0	
1618468551.8590953	10.088	80.0	84.0	85.0	74.0	
1618468551.9003706	10.088	79.0	83.0	84.0	74.0	
1618468551.9361713	10.088	78.0	84.0	84.0	73.0	
1618468551.9718328	10.088	77.0	83.0	84.0	73.0	
