time	W	temp
1618470621.3377721	5.168	70.908	
1618470621.38117	5.168	70.908	
1618470621.4260976	5.168	71.446	
1618470621.469431	5.168	70.908	
1618470621.5119815	5.168	70.908	
1618470621.5559382	5.168	70.908	
1618470621.5994046	5.168	70.908	
1618470621.642285	5.168	70.908	
1618470621.6867461	5.168	70.908	
1618470621.7303147	5.168	70.908	
1618470621.7739341	5.168	70.908	
1618470621.8186553	5.168	71.446	
1618470621.8626895	5.168	70.908	
1618470621.9065917	5.168	70.908	
1618470621.9516585	5.172	70.908	
1618470621.9956954	5.172	70.908	
1618470622.0390089	5.172	70.908	
1618470622.0842302	5.172	70.908	
1618470622.1275322	5.172	71.446	
1618470622.1710458	5.172	70.908	
1618470622.215934	5.172	70.908	
1618470622.2591598	5.172	70.908	
1618470622.3031101	5.172	70.908	
1618470622.348662	5.172	70.908	
1618470622.3933392	5.172	71.446	
1618470622.436661	5.172	71.446	
1618470622.4816647	5.172	70.908	
1618470622.524916	5.172	70.908	
1618470622.568175	5.172	70.908	
1618470622.6133313	5.172	71.446	
1618470622.6565104	5.172	71.446	
1618470622.7001734	5.172	70.908	
1618470622.7458096	5.172	71.446	
1618470622.7889936	5.172	70.908	
1618470622.8326418	5.172	70.908	
1618470622.8773124	5.172	70.908	
1618470622.9205854	5.172	71.446	
1618470622.963712	5.16	70.908	
1618470623.0090692	5.16	71.446	
1618470623.0522604	5.16	70.908	
1618470623.0954962	5.16	71.984	
1618470623.140255	5.16	71.446	
1618470623.1833773	5.16	71.984	
1618470623.226827	5.16	70.908	
1618470623.2715893	5.16	71.446	
1618470623.3152022	5.16	71.984	
1618470623.3591664	5.16	71.446	
1618470623.4039707	5.16	70.908	
1618470623.447304	5.16	71.446	
1618470623.490581	5.16	71.984	
1618470623.5351982	5.16	71.446	
1618470623.5783541	5.16	70.908	
1618470623.6217716	5.16	71.446	
1618470623.6665742	5.16	71.984	
1618470623.7098992	5.16	71.446	
1618470623.7531216	5.16	71.446	
1618470623.7977762	5.16	71.446	
1618470623.840282	5.16	71.984	
1618470623.8830369	5.16	71.446	
1618470623.9278965	5.16	71.984	
1618470623.9711466	5.191	71.446	
1618470624.0149727	5.191	70.908	
1618470624.0599976	5.191	71.446	
1618470624.1032999	5.191	71.446	
1618470624.1467247	5.191	71.446	
1618470624.1916206	5.191	71.984	
1618470624.234868	5.191	71.984	
1618470624.2782264	5.191	71.984	
1618470624.322423	5.191	71.446	
1618470624.365862	5.191	71.984	
1618470624.4089596	5.191	71.446	
1618470624.4537818	5.191	71.984	
1618470624.497172	5.191	71.984	
1618470624.5405962	5.191	71.984	
1618470624.585268	5.191	71.984	
1618470624.6287305	5.191	71.446	
1618470624.6722193	5.191	71.984	
1618470624.7167957	5.191	71.446	
1618470624.7605376	5.191	71.984	
1618470624.803491	5.191	71.446	
1618470624.8484347	5.191	71.984	
1618470624.8909724	5.191	71.984	
1618470624.9344206	5.191	71.984	
1618470624.9796934	5.149	71.984	
1618470625.0233283	5.149	71.984	
1618470625.066941	5.149	71.446	
1618470625.1116168	5.149	71.984	
1618470625.15505	5.149	71.446	
1618470625.1983678	5.149	71.984	
1618470625.2425551	5.149	71.984	
1618470625.2851841	5.149	71.984	
1618470625.3283095	5.149	71.984	
1618470625.3732836	5.149	71.984	
1618470625.4159784	5.149	71.446	
1618470625.4582636	5.149	71.984	
