time	W	temp
1618511452.1796052	5.149	70.908	
1618511452.2226884	5.149	70.908	
1618511452.2656257	5.149	70.908	
1618511452.3105364	5.149	71.446	
1618511452.353537	5.149	70.908	
1618511452.3969142	5.149	70.908	
1618511452.4418094	5.149	71.446	
1618511452.4848912	5.149	70.908	
1618511452.528041	5.149	70.908	
1618511452.5740273	5.157	70.908	
1618511452.6176195	5.157	70.908	
1618511452.6606202	5.157	70.908	
1618511452.7053838	5.157	70.908	
1618511452.7482443	5.157	70.908	
1618511452.7913682	5.157	70.908	
1618511452.8361273	5.157	70.908	
1618511452.878945	5.157	70.908	
1618511452.9223394	5.157	70.908	
1618511452.9671826	5.157	70.908	
1618511453.010487	5.157	70.908	
1618511453.0533385	5.157	70.908	
1618511453.0980463	5.157	71.446	
1618511453.140934	5.157	71.446	
1618511453.1839068	5.157	70.908	
1618511453.2287064	5.157	70.908	
1618511453.2716947	5.157	71.446	
1618511453.314608	5.157	70.908	
1618511453.3592873	5.157	70.908	
1618511453.4025621	5.157	71.446	
1618511453.446278	5.179	70.908	
1618511453.4914875	5.179	70.908	
1618511453.534594	5.179	70.908	
1618511453.577603	5.179	71.446	
1618511453.622317	5.179	71.446	
1618511453.6652691	5.179	71.446	
1618511453.7082593	5.179	71.446	
1618511453.7530882	5.179	71.446	
1618511453.7959611	5.179	71.446	
1618511453.839251	5.179	70.908	
1618511453.884053	5.179	71.446	
1618511453.9274576	5.179	71.446	
1618511453.9708385	5.179	71.446	
1618511454.016002	5.179	70.908	
1618511454.0590036	5.179	70.908	
1618511454.1019566	5.179	70.908	
1618511454.146861	5.179	70.908	
1618511454.1898496	5.179	70.908	
1618511454.233253	5.179	70.908	
1618511454.278107	5.179	71.446	
1618511454.3211765	5.179	70.908	
1618511454.3644621	5.179	71.446	
1618511454.4090521	5.179	70.908	
1618511454.452863	5.191	71.446	
1618511454.4961529	5.191	71.984	
1618511454.5419111	5.191	71.446	
1618511454.585231	5.191	70.908	
1618511454.6283536	5.191	70.908	
1618511454.6733365	5.191	70.908	
1618511454.7161531	5.191	70.908	
1618511454.7599456	5.191	70.908	
1618511454.8046727	5.191	71.446	
1618511454.8502886	5.191	71.446	
1618511454.8932824	5.191	71.446	
1618511454.9379046	5.191	70.908	
1618511454.9809475	5.191	70.908	
1618511455.0238082	5.191	71.446	
1618511455.0686872	5.191	71.984	
1618511455.111749	5.191	71.446	
1618511455.1550226	5.191	71.446	
1618511455.1997216	5.191	71.984	
1618511455.242863	5.191	71.446	
1618511455.2861867	5.191	71.446	
1618511455.3307762	5.191	70.908	
1618511455.3740425	5.191	71.984	
1618511455.4169948	5.191	71.446	
1618511455.462157	5.191	71.984	
1618511455.5056863	5.191	71.446	
1618511455.549053	5.191	71.446	
1618511455.5940924	5.191	71.446	
1618511455.6370478	5.191	71.984	
1618511455.6806064	5.191	70.908	
1618511455.7253098	5.191	71.446	
1618511455.7687948	5.191	71.984	
